room_ID,Timestamp,Temperature (Fahrenheit),Noise Level (Decibels)
4,2023-09-01 08:00:00,70.8,40
4,2023-09-01 08:15:00,72.3,38
4,2023-09-01 08:30:00,70.7,45
4,2023-09-01 08:45:00,70.1,53
4,2023-09-01 09:00:00,74.4,58
4,2023-09-01 09:15:00,70.7,43
4,2023-09-01 09:30:00,70.0,53
4,2023-09-01 09:45:00,71.2,60
4,2023-09-01 10:00:00,72.0,53
4,2023-09-01 10:15:00,72.0,52
4,2023-09-01 10:30:00,72.0,60
4,2023-09-01 10:45:00,72.0,56
4,2023-09-01 11:00:00,71.0,51
4,2023-09-01 11:15:00,72.2,40
4,2023-09-01 11:30:00,74.6,51
4,2023-09-01 11:45:00,70.6,56
4,2023-09-01 12:00:00,74.6,36
4,2023-09-01 12:15:00,73.3,58
4,2023-09-01 12:30:00,73.7,50
4,2023-09-01 12:45:00,74.3,53
4,2023-09-01 13:00:00,70.5,35
4,2023-09-01 13:15:00,72.0,59
4,2023-09-01 13:30:00,71.5,39
4,2023-09-01 13:45:00,71.3,46
4,2023-09-01 14:00:00,71.9,40
4,2023-09-01 14:15:00,70.8,54
4,2023-09-01 14:30:00,73.7,55
4,2023-09-01 14:45:00,74.2,60
4,2023-09-01 15:00:00,73.6,40
4,2023-09-01 15:15:00,72.0,40
4,2023-09-01 15:30:00,74.5,37
4,2023-09-01 15:45:00,73.6,57
4,2023-09-01 16:00:00,72.4,41
4,2023-09-01 16:15:00,72.7,55
4,2023-09-01 16:30:00,72.8,40
4,2023-09-01 16:45:00,70.9,57
4,2023-09-01 17:00:00,72.3,41
4,2023-09-01 17:15:00,72.8,49
4,2023-09-01 17:30:00,70.2,44
4,2023-09-01 17:45:00,72.9,58
4,2023-09-01 18:00:00,72.1,56
4,2023-09-01 18:15:00,72.5,36
4,2023-09-01 18:30:00,74.7,42
4,2023-09-01 18:45:00,71.7,58
4,2023-09-01 19:00:00,73.7,41
4,2023-09-01 19:15:00,70.4,51
4,2023-09-01 19:30:00,71.9,55
4,2023-09-01 19:45:00,72.1,42
4,2023-09-01 20:00:00,71.3,40
4,2023-09-01 20:15:00,73.9,41
4,2023-09-01 20:30:00,73.4,58
4,2023-09-01 20:45:00,71.5,45
4,2023-09-01 21:00:00,70.2,38
4,2023-09-01 21:15:00,74.3,37
4,2023-09-01 21:30:00,72.6,58
4,2023-09-01 21:45:00,71.3,35
4,2023-09-01 22:00:00,74.1,42
4,2023-09-01 22:15:00,73.8,51
4,2023-09-01 22:30:00,72.9,49
4,2023-09-01 22:45:00,74.5,35
4,2023-09-01 23:00:00,72.4,55
4,2023-09-01 23:15:00,74.6,56
4,2023-09-01 23:30:00,74.8,42
4,2023-09-01 23:45:00,71.8,46
4,2023-09-02 00:00:00,74.8,35
4,2023-09-02 00:15:00,70.1,35
4,2023-09-02 00:30:00,72.0,59
4,2023-09-02 00:45:00,73.9,49
4,2023-09-02 01:00:00,74.9,49
4,2023-09-02 01:15:00,71.0,37
4,2023-09-02 01:30:00,70.9,55
4,2023-09-02 01:45:00,71.9,42
4,2023-09-02 02:00:00,72.9,53
4,2023-09-02 02:15:00,70.7,60
4,2023-09-02 02:30:00,74.8,50
4,2023-09-02 02:45:00,74.5,52
4,2023-09-02 03:00:00,74.6,35
4,2023-09-02 03:15:00,73.0,40
4,2023-09-02 03:30:00,74.5,44
4,2023-09-02 03:45:00,73.5,41
4,2023-09-02 04:00:00,71.9,47
4,2023-09-02 04:15:00,73.5,51
4,2023-09-02 04:30:00,70.3,50
4,2023-09-02 04:45:00,71.6,38
4,2023-09-02 05:00:00,71.2,40
4,2023-09-02 05:15:00,73.7,43
4,2023-09-02 05:30:00,73.2,41
4,2023-09-02 05:45:00,70.1,36
4,2023-09-02 06:00:00,74.0,48
4,2023-09-02 06:15:00,70.1,53
4,2023-09-02 06:30:00,73.0,48
4,2023-09-02 06:45:00,72.8,46
4,2023-09-02 07:00:00,71.4,59
4,2023-09-02 07:15:00,73.9,48
4,2023-09-02 07:30:00,73.7,54
4,2023-09-02 07:45:00,71.0,46
4,2023-09-02 08:00:00,72.6,60
4,2023-09-02 08:15:00,71.4,35
4,2023-09-02 08:30:00,70.2,39
4,2023-09-02 08:45:00,73.3,40
