room_ID,Timestamp,Temperature (Fahrenheit),Noise Level (Decibels)
1,2023-09-01 08:00:00,70.0,41
1,2023-09-01 08:15:00,74.7,39
1,2023-09-01 08:30:00,74.1,41
1,2023-09-01 08:45:00,73.4,47
1,2023-09-01 09:00:00,73.8,55
1,2023-09-01 09:15:00,71.5,59
1,2023-09-01 09:30:00,72.5,51
1,2023-09-01 09:45:00,70.9,40
1,2023-09-01 10:00:00,74.3,56
1,2023-09-01 10:15:00,74.6,50
1,2023-09-01 10:30:00,71.0,37
1,2023-09-01 10:45:00,70.1,36
1,2023-09-01 11:00:00,71.9,38
1,2023-09-01 11:15:00,72.8,54
1,2023-09-01 11:30:00,73.8,59
1,2023-09-01 11:45:00,71.4,56
1,2023-09-01 12:00:00,72.4,41
1,2023-09-01 12:15:00,73.4,38
1,2023-09-01 12:30:00,74.0,57
1,2023-09-01 12:45:00,74.2,35
1,2023-09-01 13:00:00,72.5,59
1,2023-09-01 13:15:00,72.7,56
1,2023-09-01 13:30:00,71.1,52
1,2023-09-01 13:45:00,71.4,45
1,2023-09-01 14:00:00,74.4,56
1,2023-09-01 14:15:00,72.5,54
1,2023-09-01 14:30:00,74.4,47
1,2023-09-01 14:45:00,70.3,52
1,2023-09-01 15:00:00,72.1,35
1,2023-09-01 15:15:00,70.0,39
1,2023-09-01 15:30:00,71.0,36
1,2023-09-01 15:45:00,70.1,59
1,2023-09-01 16:00:00,73.3,57
1,2023-09-01 16:15:00,73.4,55
1,2023-09-01 16:30:00,73.0,43
1,2023-09-01 16:45:00,73.5,59
1,2023-09-01 17:00:00,71.7,35
1,2023-09-01 17:15:00,73.3,44
1,2023-09-01 17:30:00,72.8,49
1,2023-09-01 17:45:00,74.8,57
1,2023-09-01 18:00:00,72.7,47
1,2023-09-01 18:15:00,74.1,59
1,2023-09-01 18:30:00,74.7,50
1,2023-09-01 18:45:00,72.4,42
1,2023-09-01 19:00:00,73.8,51
1,2023-09-01 19:15:00,71.6,52
1,2023-09-01 19:30:00,72.9,38
1,2023-09-01 19:45:00,74.4,54
1,2023-09-01 20:00:00,74.9,43
1,2023-09-01 20:15:00,73.5,49
1,2023-09-01 20:30:00,71.0,56
1,2023-09-01 20:45:00,73.0,58
1,2023-09-01 21:00:00,72.1,57
1,2023-09-01 21:15:00,71.6,48
1,2023-09-01 21:30:00,71.0,37
1,2023-09-01 21:45:00,72.2,35
1,2023-09-01 22:00:00,73.5,51
1,2023-09-01 22:15:00,73.8,57
1,2023-09-01 22:30:00,71.9,41
1,2023-09-01 22:45:00,71.9,57
1,2023-09-01 23:00:00,74.1,37
1,2023-09-01 23:15:00,71.4,46
1,2023-09-01 23:30:00,71.9,36
1,2023-09-01 23:45:00,71.1,59
1,2023-09-02 00:00:00,75.0,58
1,2023-09-02 00:15:00,74.2,43
1,2023-09-02 00:30:00,74.1,60
1,2023-09-02 00:45:00,72.2,57
1,2023-09-02 01:00:00,74.1,42
1,2023-09-02 01:15:00,71.0,35
1,2023-09-02 01:30:00,71.2,49
1,2023-09-02 01:45:00,72.1,52
1,2023-09-02 02:00:00,71.6,41
1,2023-09-02 02:15:00,74.6,44
1,2023-09-02 02:30:00,71.6,41
1,2023-09-02 02:45:00,71.6,45
1,2023-09-02 03:00:00,71.2,56
1,2023-09-02 03:15:00,72.1,57
1,2023-09-02 03:30:00,71.0,52
1,2023-09-02 03:45:00,73.2,44
1,2023-09-02 04:00:00,70.3,46
1,2023-09-02 04:15:00,73.2,55
1,2023-09-02 04:30:00,70.1,40
1,2023-09-02 04:45:00,73.6,53
1,2023-09-02 05:00:00,74.7,35
1,2023-09-02 05:15:00,71.5,35
1,2023-09-02 05:30:00,70.5,53
1,2023-09-02 05:45:00,72.4,54
1,2023-09-02 06:00:00,71.5,39
1,2023-09-02 06:15:00,71.3,55
1,2023-09-02 06:30:00,73.4,57
1,2023-09-02 06:45:00,74.1,52
1,2023-09-02 07:00:00,73.8,41
1,2023-09-02 07:15:00,73.2,35
1,2023-09-02 07:30:00,71.9,59
1,2023-09-02 07:45:00,73.1,58
1,2023-09-02 08:00:00,74.9,59
1,2023-09-02 08:15:00,74.5,42
1,2023-09-02 08:30:00,70.7,45
1,2023-09-02 08:45:00,72.8,54
