room_ID,Timestamp,Temperature (Fahrenheit),Noise Level (Decibels)
3,2023-09-01 08:00:00,71.0,43
3,2023-09-01 08:15:00,73.4,39
3,2023-09-01 08:30:00,70.4,43
3,2023-09-01 08:45:00,75.0,35
3,2023-09-01 09:00:00,73.7,36
3,2023-09-01 09:15:00,71.2,44
3,2023-09-01 09:30:00,70.2,43
3,2023-09-01 09:45:00,72.9,37
3,2023-09-01 10:00:00,70.6,39
3,2023-09-01 10:15:00,70.7,57
3,2023-09-01 10:30:00,74.8,43
3,2023-09-01 10:45:00,73.5,43
3,2023-09-01 11:00:00,71.9,57
3,2023-09-01 11:15:00,74.9,60
3,2023-09-01 11:30:00,74.8,43
3,2023-09-01 11:45:00,74.1,53
3,2023-09-01 12:00:00,72.3,47
3,2023-09-01 12:15:00,71.8,39
3,2023-09-01 12:30:00,70.9,52
3,2023-09-01 12:45:00,72.5,60
3,2023-09-01 13:00:00,73.6,44
3,2023-09-01 13:15:00,70.7,48
3,2023-09-01 13:30:00,70.4,59
3,2023-09-01 13:45:00,71.8,38
3,2023-09-01 14:00:00,72.0,50
3,2023-09-01 14:15:00,73.3,48
3,2023-09-01 14:30:00,71.3,45
3,2023-09-01 14:45:00,73.6,39
3,2023-09-01 15:00:00,72.2,47
3,2023-09-01 15:15:00,72.7,50
3,2023-09-01 15:30:00,74.4,54
3,2023-09-01 15:45:00,71.3,58
3,2023-09-01 16:00:00,72.1,40
3,2023-09-01 16:15:00,72.8,37
3,2023-09-01 16:30:00,71.4,56
3,2023-09-01 16:45:00,70.2,59
3,2023-09-01 17:00:00,71.8,43
3,2023-09-01 17:15:00,74.3,58
3,2023-09-01 17:30:00,73.7,52
3,2023-09-01 17:45:00,72.3,52
3,2023-09-01 18:00:00,72.4,43
3,2023-09-01 18:15:00,71.0,41
3,2023-09-01 18:30:00,71.9,45
3,2023-09-01 18:45:00,72.4,35
3,2023-09-01 19:00:00,72.0,53
3,2023-09-01 19:15:00,72.5,45
3,2023-09-01 19:30:00,73.5,42
3,2023-09-01 19:45:00,71.7,53
3,2023-09-01 20:00:00,73.8,51
3,2023-09-01 20:15:00,73.7,46
3,2023-09-01 20:30:00,74.8,38
3,2023-09-01 20:45:00,70.5,56
3,2023-09-01 21:00:00,74.0,45
3,2023-09-01 21:15:00,70.3,40
3,2023-09-01 21:30:00,71.3,58
3,2023-09-01 21:45:00,72.3,55
3,2023-09-01 22:00:00,73.2,44
3,2023-09-01 22:15:00,74.4,41
3,2023-09-01 22:30:00,74.5,41
3,2023-09-01 22:45:00,74.2,50
3,2023-09-01 23:00:00,74.7,44
3,2023-09-01 23:15:00,74.4,51
3,2023-09-01 23:30:00,70.7,54
3,2023-09-01 23:45:00,73.9,43
3,2023-09-02 00:00:00,72.2,38
3,2023-09-02 00:15:00,73.8,57
3,2023-09-02 00:30:00,73.4,36
3,2023-09-02 00:45:00,72.2,38
3,2023-09-02 01:00:00,74.3,47
3,2023-09-02 01:15:00,71.4,51
3,2023-09-02 01:30:00,72.1,42
3,2023-09-02 01:45:00,73.2,35
3,2023-09-02 02:00:00,74.3,39
3,2023-09-02 02:15:00,73.8,45
3,2023-09-02 02:30:00,73.0,43
3,2023-09-02 02:45:00,71.3,51
3,2023-09-02 03:00:00,73.0,56
3,2023-09-02 03:15:00,74.4,47
3,2023-09-02 03:30:00,72.4,35
3,2023-09-02 03:45:00,72.7,55
3,2023-09-02 04:00:00,70.2,59
3,2023-09-02 04:15:00,73.6,56
3,2023-09-02 04:30:00,70.6,41
3,2023-09-02 04:45:00,71.1,39
3,2023-09-02 05:00:00,73.8,52
3,2023-09-02 05:15:00,72.9,39
3,2023-09-02 05:30:00,71.0,54
3,2023-09-02 05:45:00,73.9,37
3,2023-09-02 06:00:00,74.8,47
3,2023-09-02 06:15:00,73.2,49
3,2023-09-02 06:30:00,74.1,49
3,2023-09-02 06:45:00,73.0,56
3,2023-09-02 07:00:00,70.5,42
3,2023-09-02 07:15:00,71.9,59
3,2023-09-02 07:30:00,71.0,60
3,2023-09-02 07:45:00,72.7,40
3,2023-09-02 08:00:00,73.9,58
3,2023-09-02 08:15:00,70.9,42
3,2023-09-02 08:30:00,74.0,52
3,2023-09-02 08:45:00,74.5,49
